MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
BASIC NECESSITIES (BN),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,2025-11-01,OCTOBER,% CHANGE,PHP DIFF.,2025-11-01,2025-08-01,% CHANGE,PHP DIFF.
Bottled Water - Purified,VITAL Purified Water,Vital,350ml,NO SRP,5.65,5.65,0.00%,0,5.65,5.65,0.00%,0
Bottled Water - Purified,VITAL Purified Water,Vital,500ml,NO SRP,7.05,7.05,0.00%,0,7.05,7.05,0.00%,0
Bottled Water - Purified,VITAL Purified Water,Vital,1L,NO SRP,12.6,12.6,0.00%,0,12.6,12.6,0.00%,0
Bottled Water - Purified,VITAL Purified Water,Vital,6L,NO SRP,,60,,,,,,
Bottled Water - Purified,WET Purified Water,WET,330ml,NO SRP,6.75,5.8,16.38%,0.95,6.75,5.75,17.39%,1
Bottled Water - Purified,WET Purified Water,WET,1L,NO SRP,11.65,13.65,-14.65%,-2,11.65,13,-10.38%,-1.35
Bottled Water - Purified,WILKINS Pure Purified Water,Wilkins,330ml,NO SRP,10,10,0.00%,0,10,10,0.00%,0
Bottled Water - Purified,WILKINS Pure Purified Water,Wilkins,500ml,11,11,11,0.00%,0,11,11,0.00%,0
Bottled Water - Purified,WILKINS Pure Purified Water,Wilkins,1L,18,18,18,0.00%,0,18,18,0.00%,0
Bread - Loaf,ANGELINA Loaf Bread - Medium,Angelina,450g,NO SRP,,,,,,,,
Bread - Loaf,ANGELINA Loaf Bread - Junior,Angelina,350g,NO SRP,,,,,,,,
Bread - Loaf,ANGELINA Loaf Bread - Superloaf,Angelina,640g,NO SRP,,,,,,,,
Bread - Loaf,BREAD WINNER Original White Bread,Bread Winner,600g,NO SRP,62,,,,62,62,0.00%,0
Bread - Loaf,DELIFRANZ Superloaf Bread,Delifranz,600g,NO SRP,,,,,,,,
Bread - Loaf,FUWA FUWA Loaf Bread,Fuwa Fuwa,366g,NO SRP,59.5,59.5,0.00%,0,59.5,59.5,0.00%,0
Bread - Loaf,FUWA FUWA Loaf Bread,Fuwa Fuwa,500g,NO SRP,,,,,,,,
Bread - Loaf,GARDENIA Classic,Gardenia,400g,NO SRP,58.5,58.5,0.00%,0,58.5,58.5,0.00%,0
Bread - Loaf,GARDENIA Classic (Regular/Thick Slice),Gardenia ,600g,NO SRP,85,85,0.00%,0,85,85,0.00%,0
Bread - Loaf,JUAN Tasty,Juan,450g,NO SRP,39.75,39.75,0.00%,0,39.75,39.75,0.00%,0
Bread - Loaf,LOCAL/COMMUNITY BAKERS - LOAF BREAD,Local Tasty,250g,NO SRP,,,,,,,,
Bread - Loaf,LOCAL/COMMUNITY BAKERS - LOAF BREAD,Local Tasty,350g,NO SRP,,,,,,,,
Bread - Loaf,LOCAL/COMMUNITY BAKERS - LOAF BREAD,Local Tasty,400g,NO SRP,,,,,,,,
Bread - Loaf,LOCAL/COMMUNITY BAKERS - LOAF BREAD,Local Tasty,500g,NO SRP,,,,,,,,
Bread - Loaf,LOCAL/COMMUNITY BAKERS - LOAF BREAD,Local Tasty,550g,NO SRP,,,,,,,,
Bread - Loaf,LOCAL/COMMUNITY BAKERS - LOAF BREAD,Local Tasty,600g,NO SRP,,,,,,,,
