MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
CONSTRUCTION MATERIALS ,,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,UNIT,SIZE,"MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Starter,PHILIPS Starter (C-10) 65W,Philips,watts,65 Watts,,,,,,,,
Starter,PHILIPS Starter (S10-P) 65W,Philips,watts,65 Watts,,,,,,,,
Steel Bars - 10mm,APASCO Steel Bars - 10mm,Apasco,length,10mm,,,,,,,,
Steel Bars - 10mm,BUILDERS Deformed Regular Steel Bars - 10mm x 6m,Builders,length,10mm x 6m,,,,,,,,
Steel Bars - 10mm,BUILDERS Steel Bars - 10mm,Builders,length,10mm,,,,,,,,
Steel Bars - 10mm,CAPASCO Deformed Regular Steel Bars - 10mm x 6m,Capasco,length,10mm x 6m,,,,,,,,
Steel Bars - 10mm,CAPASCO Steel Bars - 10mm,Capasco,length,10mm,,,,,,,,
Steel Bars - 10mm,CATHAY PACIFIC Deformed Regular Steel Bars - 10mm x 6m,Cathay Pacific,length,10mm x 6m,,,,,,,,
Steel Bars - 10mm,CATHAY PACIFIC Steel Bars - 10mm,Cathay Pacific,length,10mm,,,,,,,,
Steel Bars - 10mm,CONTINENTAL Deformed Regular Steel Bars - 10mm x 6m,Continental,length,10mm x 6m,,,,,,,,
Steel Bars - 10mm,CONTINENTAL Steel Bars - 10mm,Continental,length,10mm,,,,,,,,
Steel Bars - 10mm,Great 33 Steel Bars - 10mm,Great 33,length,10mm,,,,,,,,
Steel Bars - 10mm,HIGHSTEEL Steel Bars - 10mm,Highsteel,length,100mm,,,,,,,,
Steel Bars - 10mm,MAXIMA Deformed Regular Steel Bars - 10mm x 6m,Maxima,length,10mm x 6m,,,,,,,,
Steel Bars - 10mm,MAXIMA Steel Bars - 10mm,Maxima,length,10mm,,,,,,,,
Steel Bars - 10mm,METRO DRAGON Steel Bars - 10mm,Metro Dragon,length,10mm,,,,,,,,
Steel Bars - 10mm,PHIL KOKTAI Steel Bars - 10mm,Phil Koktai,length,10mm,,,,,,,,
Steel Bars - 10mm,SOMICO Steel Bars - 10mm,Somico,length,10mm,,,,,,,,
Steel Bars - 10mm,STEEL ASIA Deformed Regular Steel Bars - 10mm x 6m,Steel Asia,length,10mm x 6m,,,,,,,,
Steel Bars - 10mm,STEEL ASIA Steel Bars - 10mm,Steel Asia,length,10mm,,,,,,,,
Steel Bars - 10mm,SUMECO Steel Bars - 10mm,Sumeco,length,10mm,,,,,,,,
Steel Bars - 10mm,TKL Steel Bars - 10mm,TKL,length,10mm,,,,,,,,
Steel Bars - 10mm,UNKNOWN BRAND - 10mm,Unknown Brand,length,10mm,,,,,,,,
Steel Bars - 10mm,VENUS Steel Bars - 10mm,Venus,length,10mm,,,,,,,,
Steel Bars - 10mm,WORLDBEST Steel Bars - 10mm,Worldbest,length,10mm,,,,,,,,
Steel Bars - 12mm,APASCO Steel Bars - 12mm,Apasco,length,12mm,,,,,,,,
Steel Bars - 12mm,BUILDERS Deformed Regular Steel Bars - 12mm x 6m,Builders,length,12mm x 6m,,,,,,,,
Steel Bars - 12mm,BUILDERS Steel Bars - 12mm,Builders,length,12mm,,,,,,,,
Steel Bars - 12mm,CAPASCO Deformed Regular Steel Bars - 12mm x 6m,Capasco,length,12mm x 6m,,,,,,,,
Steel Bars - 12mm,CAPASCO Steel Bars - 12mm,Capasco,length,12mm,,,,,,,,
Steel Bars - 12mm,CATHAY PACIFIC Deformed Regular Steel Bars - 12mm x 6m,Cathay Pacific,length,12mm x 6m,,,,,,,,
Steel Bars - 12mm,CATHAY PACIFIC Steel Bars - 12mm,Cathay Pacific,length,12mm,,,,,,,,
Steel Bars - 12mm,CONTINENTAL Deformed Regular Steel Bars - 12mm x 6m,Continental,length,12mm x 6m,,,,,,,,
Steel Bars - 12mm,CONTINENTAL Steel Bars - 12mm,Continental,length,12mm,,,,,,,,
Steel Bars - 12mm,HIGHSTEEL Steel Bars - 12mm,Highsteel,length,12mm,,,,,,,,
Steel Bars - 12mm,MAXIMA Deformed Regular Steel Bars - 12mm x 6m,Maxima,length,12mm x 6m,,,,,,,,
Steel Bars - 12mm,MAXIMA Steel Bars - 12mm,Maxima,length,12mm,,,,,,,,
Steel Bars - 12mm,METRO DRAGON Steel Bars - 12mm,Metro Dragon,length,12mm,,,,,,,,
Steel Bars - 12mm,PHIL KOKTAI Steel Bars - 12mm,Phil Koktai,length,12mm,,,,,,,,
Steel Bars - 12mm,SOMICO Steel Bars - 12mm,Somico,length,12mm,,,,,,,,
Steel Bars - 12mm,STEEL ASIA Steel Bars - 12mm,Steel Asia,length,12mm,,,,,,,,
Steel Bars - 12mm,SUMECO Steel Bars - 12mm,Sumeco,length,12mm,,,,,,,,
Steel Bars - 12mm,UNKNOWN BRAND - 12mm,Unknown Brand,length,12mm,,,,,,,,
Steel Bars - 12mm,VENUS Steel Bars - 12mm,Venus,length,12mm,,,,,,,,
Steel Bars - 12mm,WORLDBEST Steel Bars -12mm,Worldbest,length,12mm,,,,,,,,
Steel Wire - 1.25mm,CADIZ Steel Wire - 1.25mm,Cadiz,length,1.25mm,,,,,,,,
Steel Wire - 1.25mm,CBK Steel Wire - 1.25mm,CBK,length,1.25mm,,,,,,,,
Steel Wire - 1.25mm,HI-TECH Steel - Steel Wire 1.25mm,Hi-Tech Steel,length,1.25mm,,,,,,,,
Steel Wire - 1.25mm,PENTAGON Steel Wire - 1.25mm,Pentagon,length,1.25mm,,,,,,,,
Steel Wire - 1.25mm,STEEL WORLD Steel Wire - 1.25mm,Steel World,length,1.25mm,,,,,,,,
Steel Wire - 1.25mm,STERLING Steel Wire - 1.25mm,Sterling,length,1.25mm,,,,,,,,
Steel Wire - 1.25mm,STONEHILL Steel Wire - 1.25mm,Stonehill,length,1.25mm,,,,,,,,
Steel Wire - 1.25mm,SUPERSONIC Steel Wire - 1.25mm,Supersonic,length,1.25mm,,,,,,,,
Steel Wire - 1.65mm,CADIZ Steel Wire - 1.65mm,Cadiz,length,1.65mm,,,,,,,,
Steel Wire - 1.65mm,CATHAY PACIFIC Steel Wire - 1.65 mm,Cathay Pacific,length,1.65mm,,,,,,,,
Steel Wire - 1.65mm,CBK Steel Wire - 1.65mm,CBK,milli meter,1.65mm,,,,,,,,
Steel Wire - 1.65mm,FIDELITY Steel Wire - 1.65 mm,Fidelity,length,1.65mm,100,90,11.11%,10,100,,,
Steel Wire - 1.65mm,HI-TECH Steel - Steel Wire 1.65mm,Hi-Tech Steel,length,1.65mm,102,100,2.00%,2,102,,,
Steel Wire - 1.65mm,PENTAGON Steel Wire - 1.65 mm,Pentagon,length,1.65mm,,,,,,,,
Steel Wire - 1.65mm,STEEL ASIA Steel Wire - 1.65 mm,Steel Asia,length,1.65mm,,,,,,,,
Steel Wire - 1.65mm,STEEL WORLD Steel Wire - 1.65mm,Steel World,length,1.65mm,100,90,11.11%,10,100,,,
Steel Wire - 1.65mm,STEELWORTH Steel Wire - 1.65 mm,Steelworth,length,1.65mm,,,,,,,,
Steel Wire - 1.65mm,STERLING Steel Wire - 1.65mm,Sterling,length,1.65mm,100,85,17.65%,15,100,,,
Steel Wire - 1.65mm,STONEHILL Steel Wire - 1.65mm,Stonehill,length,1.65mm,,,,,,,,
Steel Wire - 1.65mm,SUPERSONIC Steel Wire - 1.65mm,Supersonic,length,1.65mm,95,,,,95,,,
Steel Wire - 1.65mm,TRI-STAR Steel Wire - 1.65 mm,Tri-Star,length,1.65mm,,,,,,,,
Switch - Snap Switch,EAGLE Snap Switch,Eagle,piece,piece,,75,,,,,,
Switch - Snap Switch,FIREFLY Snap Switch,Firefly,piece,piece,,50,,,,,,
Switch - Snap Switch,KOPEZ Snap Switch,Kopez,piece,piece,,45,,,,,,
Switch - Snap Switch,OMNI Snap Switch,Omni,piece,piece,40,50,-20.00%,-10,40,45,,
Switch - Tumbler Switch,EAGLE Tumbler Switch,Eagle,piece,piece,100,120,-16.67%,-20,100,,,
Switch - Tumbler Switch,FIREFLY Tumbler Switch,Firefly,piece,piece,,,,,,,,
Switch - Tumbler Switch,KOPEZ Tumbler Switch,Kopez,piece,piece,70,65,7.69%,5,70,,,
Ballast,Delta,Delta,,20 Watts,,,,,,,,
Bulb - LED Bulb,Ace (Q-4394),Ace,,3 watts,,,,,,,,
Bulb - LED Bulb,Ace (Q-4394),Ace,,6 watts,,,,,,,,
Bulb - LED Bulb,Ace (Q-4394),Ace,,9 watts,,,,,,,,
Bulb - LED Bulb,Ace (Q-4394),Ace,,12 watts,,,,,,,,
Bulb - LED Bulb,Apollo,Apollo,,3 watts,,,,,,,,
Bulb - LED Bulb,Apollo,Apollo,,5 watts,,,,,,,,
Bulb - LED Bulb,Apollo,Apollo,,12 watts,,,,,,,,
Bulb - LED Bulb,Apollo,Apollo,,15 watts,,,,,,,,
Bulb - LED Bulb,CATA LED Bulb,Cata,,5 watts,,,,,,,,
Bulb - LED Bulb,CATA LED Bulb,Cata,,7 watts,,,,,,,,
Bulb - LED Bulb,CATA LED Bulb,Cata,,12 watts,,,,,,,,
Bulb - LED Bulb,CATA LED Bulb,Cata,,15 watts,,,,,,,,
Bulb - LED Bulb,CATA LED Bulb,Cata,,18 watts,,,,,,,,
Bulb - LED Bulb,Greenfield,Greenfield,,3 watts,,,,,,,,
Bulb - LED Bulb,Greenfield,Greenfield,,5 watts,,,,,,,,
Bulb - LED Bulb,Greenfield,Greenfield,,7 watts,,,,,,,,
Bulb - LED Bulb,Greenfield,Greenfield,,9 watts,,,,,,,,
Bulb - LED Bulb,Greenfield,Greenfield,,12 watts,,,,,,,,
Bulb - LED Bulb,Osram,Osram,,5 watts,,86,,,,,,
Bulb - LED Bulb,Osram,Osram,,10 watts,,,,,,,,
Bulb - LED Bulb,Philips LED Bulb,Philips,,11 watts,155,155,0.00%,0,155,,,
Bulb - LED Bulb,Qusun (Q-3641),Quisun,,9 watts,,,,,,,,
Bulb - LED Bulb,Qusun (Q-3641),Quisun,,12 watts,,,,,,,,
Bulb - LED Bulb,Qusun (Q-3641),Quisun,,5 watts,,,,,,,,
"GI Sheet, Roofing  Corrugated",Apo  0.5 mm (Gauge 26) 12 feet,Apo,,0.5 mm (Gauge 26) 12 feet,900,1080,-16.67%,-180,900,,,
"GI Sheet, Roofing  Corrugated",Galvalume  0.35 mm (Gauge 26) ,Galvalume,,8 feet,,316,,,,,,
"GI Sheet, Roofing  Corrugated",Galvalume  0.35 mm (Gauge 26) ,Galvalume,,10 feet,,448,,,,,,
"GI Sheet, Roofing  Corrugated",Galvalume  0.35 mm (Gauge 26) ,Galvalume,,12 feet,,,,,,,,
"GI Sheet, Roofing  Corrugated",Lucky  Steel,Lucky Steel,,Gauge 24 8' ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",Lucky  Steel,Lucky Steel,,Gauge 24 10' ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",Lucky  Steel,Lucky Steel,,Gauge 24 12',,,,,,,,
"GI Sheet, Roofing  Corrugated",Sonic  Steel,Sonic Steel,,0.4 mm 8',,,,,,,,
"GI Sheet, Roofing  Corrugated",Sonic  Steel,Sonic Steel,,0.4 mm 10',,,,,,,,
"GI Sheet, Roofing  Corrugated",Sonic  Steel,Sonic Steel,,0.4 mm 12',,,,,,,,
"GI Sheet, Roofing  Corrugated",Sonic  Steel,Sonic Steel,,0.5 mm 8',,560,,,,,,
"GI Sheet, Roofing  Corrugated",Sonic  Steel,Sonic Steel,,0.5 mm 10',,700,,,,,,
"GI Sheet, Roofing  Corrugated",Sonic  Steel,Sonic Steel,,0.5 mm 12',,840,,,,,,
"GI Sheet, Roofing  Corrugated",Superlume - 0.4mm,Superlume,,10ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",Superlume - Gauge 24,Superlume,,8FT,,,,,,,,
"GI Sheet, Roofing  Corrugated",Superlume - Gauge 24,Superlume,,10Ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",Superlume - Gauge 24,Superlume,,12Ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",Superlume - Gauge 26,Superlume,,10Ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",Superlume - Gauge 26,Superlume,,12Ft,,,,,,,,
Nail - Common Wire Nail - 100mm,"Hiking 100mm (4"")",Hiking,,"100mm (4"")",100,,,,100,,,
Nail - Common Wire Nail - 100mm,Omega,Omega,,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"Royal Tern - 100mm (4"")",Royal Tern,,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,RTC - 100mm,RTC,,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,United Steel (100mm),United Steel,,"100mm (4"")",,80,,,,,,
Nail - Common Wire Nail - 50mm,Galvagroove ,Galvagroove,,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"Hiking 50mm (2"")",Hiking,,"50mm (2"")",100,,,,100,,,
Nail - Common Wire Nail - 50mm,Omega,Omega,,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"Royal Tern - 50mm (2"")",Royal Tern,," 50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,RTC - 50mm,RTC,,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,United Steel (50mm),United Steel,,"50mm (2"")",,80,,,,,,
Nail - Finishing Nails - 50mm,"CPME  50mm (2"")",CPME,,"50mm (2"")",90,90,0.00%,0,90,,,
Nail - Finishing Nails - 50mm,Galvagroove,Galvagroove,,"50mm (2"")",120,,,,120,,,
Nail - Finishing Nails - 50mm,"Hiking 50mm (2"")",Hiking,,"50mm (2"")",100,,,,100,,,
Nail - Finishing Nails - 50mm,Omega,Omega,,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,"Royal Tern - 50mm (2"")",Royal Tern,,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,RTC - 50mm,RTC,,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,United Steel (50mm),United Steel,,"50mm (2"")",,85,,,,,,
Nail - Finishing Nails - 75mm,"CPME  50mm (3"")",CPME,,"75mm (3"")",83,90,-7.78%,-7,83,,,
Nail - Finishing Nails - 75mm,Galvagroove,Galvagroove,,"75mm (3"")",120,,,,120,,,
Nail - Finishing Nails - 75mm,Omega,Omega,,"75mm (3"")",,,,,,,,
Nail - Finishing Nails - 75mm,"Royal Tern - 75mm (3"")",Royal Tern,,"75mm (3"")",,,,,,,,
Nail - Finishing Nails - 75mm,RTC - 75mm,RTC,,"75mm (3"")",,,,,,,,
Nail - Finishing Nails - 75mm,United Steel (75mm),United Steel,,"75mm (3"")",,85,,,,,,
Plyboard,Agusan - 18mm,Agusan,,18mm,20,,,,20,,,
Plyboard,Nova - 18mm,Nova,,18mm,,,,,,,,
Plyboard,Richmond - 18mm,Richmond,,18mm,,,,,,,,
Plyboard,SMJ  ,SMJ,,18mm,,,,,,,,
Plyboard,Ventura - 18mm,Ventura,,18mm,,,,,,,,
Plyboard,Well Wood  ,Well Wood Marine,,18mm,,,,,,,,
Plyboard,Winlex - 18mm,Winlex,,18mm,,,,,,,,
Plywood - Marine Plywood,Asia Fly,Asia Fly,,5mm,,,,,,,,
Plywood - Marine Plywood,Asia Fly,Asia Fly,,12mm,,,,,,,,
Plywood - Marine Plywood,Happy Rabbit - 12mm,Happy,,12mm,,,,,,,,
Plywood - Marine Plywood,Happy Rabbit - 18mm,Happy,,18mm,,,,,,,,
Plywood - Marine Plywood,Happy Rabbit - 5mm,Happy,,5mm,,,,,,,,
Plywood - Marine Plywood,Imperial,Imperial,,5mm,,,,,,,,
Plywood - Marine Plywood,Imperial,Imperial,,12mm,,,,,,,,
Plywood - Marine Plywood,Imperial,Imperial,,18mm,,,,,,,,
Plywood - Marine Plywood,Nimex - 12mm,Nimex,,12mm,,,,,,,,
Plywood - Marine Plywood,Nimex - 18mm,Nimex,,18mm,,,,,,,,
Plywood - Marine Plywood,Nimex - 5mm,Nimex,,5mm,,,,,,,,
Plywood - Marine Plywood,Nova - 12mm,Nova,,12mm,,,,,,,,
Plywood - Marine Plywood,Nova - 18mm,Nova,,18mm,,,,,,,,
Plywood - Marine Plywood,Nova - 5mm,Nova,,5mm,,,,,,,,
Plywood - Marine Plywood,Orion - 12mm,Orion,,12mm,,,,,,,,
Plywood - Marine Plywood,Orion - 18mm,Orion,,18mm,38,,,,38,,,
Plywood - Marine Plywood,Orion - 5mm,Orion,,5mm,,,,,,,,
Plywood - Marine Plywood,SMJ  ,SMJ,,5mm,,,,,,,,
Plywood - Marine Plywood,SMJ  ,SMJ,,12mm,,,,,,,,
Plywood - Marine Plywood,SMJ  ,SMJ,,18mm,,,,,,,,
Plywood - Marine Plywood,Tagum - 12mm,Tagum,,12mm,,,,,,,,
Plywood - Marine Plywood,Tagum - 18mm,Tagum,,18mm,,,,,,,,
Plywood - Marine Plywood,Tagum - 5mm,Tagum,,5mm,,,,,,,,
Plywood - Marine Plywood,Unofly - 12mm,Unofly,,12mm,,,,,,,,
Plywood - Marine Plywood,Unofly - 18mm,Unofly,,18mm,,,,,,,,
Plywood - Marine Plywood,Unofly - 5mm,Unofly,,5mm,,,,,,,,
Plywood - Marine Plywood,Ventura - 12mm,Ventura,,12mm,,,,,,,,
Plywood - Marine Plywood,Ventura - 18mm,Ventura,,18mm,,,,,,,,
Plywood - Marine Plywood,Ventura - 5mm,Ventura,,5mm,,,,,,,,
Plywood - Marine Plywood,Well Wood Marine,Well Wood Marine,,5mm,,,,,,,,
Plywood - Marine Plywood,Well Wood Marine,Well Wood Marine,,12mm,,,,,,,,
Plywood - Marine Plywood,Well Wood Marine,Well Wood Marine,,18mm,,,,,,,,
Starter,Delta,Delta,,piece,20,10,100.00%,10,20,,,
Starter,Delta 65 Watts,Delta,,65 Watts,,,,,,,,
Starter,Royu,Royu,,piece,,,,,,,,
Steel Bars - 10mm,Joyland - 10mm,Joyland,,10mm,,,,,,,,
Steel Bars - 10mm,Metal Alliance - 10mm,Metal Alliance,,10mm,,,,,,,,
Steel Bars - 10mm,Meteor Steel - 10mm,Meteor,,10mm,,,,,,,,
Steel Bars - 10mm,Northwest Rolling Mill,Northwest Rolling Mill,,10mm,,,,,,,,
Steel Bars - 10mm,Pag-asa Steel - 10mm,Pag-Asa,,10mm,,,,,,,,
Steel Bars - 10mm,Pag-Asa Steel 10mm,Pag-Asa,,10mm,,,,,,,,
Steel Bars - 10mm,SSTC - 10mm,SSTC,,10mm,,,,,,,,
Steel Bars - 10mm,Wan Chiong Steel - 10mm,Wan Chiong,,10mm,,,,,,,,
Steel Bars - 10mm,WSC 10mm,WSC,,10mm,,,,,,,,
Steel Bars - 12mm,Joyland - 12mm,Joyland,,12mm,,,,,,,,
Steel Bars - 12mm,Metal Alliance - 12mm,Metal Alliance,,12mm,,,,,,,,
Steel Bars - 12mm,Meteor Steel - 12mm,Meteor,,12mm,,,,,,,,
Steel Bars - 12mm,Northwest Rolling Mill,Northwest Rolling Mill,,12mm,,,,,,,,
Steel Bars - 12mm,Pag-asa Steel - 12mm,Pag-Asa,,12mm,,,,,,,,
Steel Bars - 12mm,Pag-Asa Steel 12mm,Pag-Asa,,12mm,,,,,,,,
Steel Bars - 12mm,SSTC - 12mm,SSTC,,12mm,,,,,,,,
Steel Bars - 12mm,TKL - 12mm,TKL,,12mm,,,,,,,,
Steel Bars - 12mm,Wan Chiong Steel - 12mm,Wan Chiong,,12mm,,,,,,,,
Steel Bars - 12mm,WSC  12mm,WSC,,12mm,,,,,,,,
Steel Wire - 1.65mm,United Steel (1.65mm),United Steel,,1.65 mm,,,,,,,,
Switch - Snap Switch,Royu Snap Switch,Royu,,piece,45,50,-10.00%,-5,45,,,
Plywood - Ordinary Plywood ,RICHMOND Ordinary Plywood - Thickness (5mm),Richmond,,Type 2 - 5mm,,,,,,,,
Plywood - Ordinary Plywood ,RICHMOND Ordinary Plywood - Thickness (12mm),Richmond,,Type 2 - 12mm,,,,,,,,
Plywood - Ordinary Plywood ,RICHMOND Ordinary Plywood - Thickness (18mm),Richmond,,Type 2 - 18mm,,,,,,,,
Plywood - Ordinary Plywood ,WINLEX - Type 2 Thickness (5mm),Richmond,,Type 2 - 5mm,,,,,,,,
Plywood - Ordinary Plywood ,WINLEX - Type 2 Thickness (12mm),Richmond,,Type 2 - 12mm,,,,,,,,
Plywood - Ordinary Plywood ,WINLEX - Type 2 Thickness (18mm),Richmond,,Type 2 - 18mm,,,,,,,,
Plywood - Ordinary Plywood ,BUFFALO Ordinary Plywood - Thickness (5mm),Richmond,,Type 2 - 5mm,,,,,,,,
Plywood - Ordinary Plywood ,BUFFALO  Ordinary Plywood - Thickness (12mm),Richmond,,Type 2 - 12mm,,,,,,,,
Plywood - Ordinary Plywood ,BUFFALO Ordinary Plywood - Thickness (18mm),Richmond,,Type 2 - 18mm,,,,,,,,
"GI Sheet, Roofing  Corrugated",SONIC Steel (super premium) .38mm,Sonic,,8FT,,,,,,,,
"GI Sheet, Roofing  Corrugated",SONIC Steel (super premium) .38mm,Sonic,,10Ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",SONIC Steel (super premium) .38mm,Sonic,,12Ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",ASIA Lume .4mm,Asia Lume,,8FT,,,,,,,,
"GI Sheet, Roofing  Corrugated",ASIA Lume .4mm,Asia Lume,,10Ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",ASIA Lume .4mm,Asia Lume,,12Ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",OPTIMAL Steel .35mm,Optimal,,8FT,,,,,,,,
"GI Sheet, Roofing  Corrugated",OPTIMAL Steel .35mm,Optimal,,10Ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",OPTIMAL Steel .35mm,Optimal,,12Ft,,,,,,,,
"GI Sheet, Roofing  Corrugated",Everglory 0.4mm (Gauge 26),Everglory,,8 feet,,,,,,,,
"GI Sheet, Roofing  Corrugated",Everglory 0.4mm (Gauge 26),Everglory,,10 feet,80,,,,80,,,
Bulb - LED Bulb,ROYU LED Bulb - 3W,Royu,,3 watts,90,135,-33.33%,-45,90,,,
Bulb - LED Bulb,ROYU LED Bulb - 5W,Royu,,5 watts,100,150,-33.33%,-50,100,,,
Bulb - LED Bulb,ROYU LED Bulb - 7W,Royu,,7 watts,,170,,,,,,
Bulb - LED Bulb,ROYU LED Bulb - 9W,Royu,,9 watts,,190,,,,,,
Bulb - LED Bulb,ROYU LED Bulb - 11W,Royu,,11 watts,,210,,,,,,
Bulb - LED Bulb,ROYU LED Bulb - 13W,Royu,,13 watts,,270,,,,,,
Bulb - LED Bulb,ROYU LED Bulb - 15W,Royu,,15 watts,,,,,,,,
"GI Sheet, Roofing  Corrugated",Everglory 0.4mm (Gauge 26),Everglory,,10 feet,700,,,,700,,,
"GI Sheet, Roofing  Corrugated",Superlume - 0.35mm,Superlume,,8FT,880,,,,880,,,
"GI Sheet, Roofing  Corrugated",Superlume - 0.35mm,Superlume,,10Ft,1056,,,,1056,,,
"GI Sheet, Roofing  Corrugated",Superlume - 0.35mm,Superlume,,12Ft,,,,,,,,
Nail - Finishing Nails - 50mm,"Steel Monster  Finishing Nails - 50mm(2"")",Steel Monster,,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"Steel Monster (2"")",Steel Monster,,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"Steel Monster (4"")",Steel Monster,,"100mm (4"")",,,,,,,,
Fuse,Delta 30amp,Delta,,30 ampere,,,,,,,,
Steel Bars - 10mm,Phil. Sanija Steel Corp.,Phil. Sanija Steel Corp.,,10mm,35,,,,35,,,
Steel Bars - 12mm,Phil. Sanija Steel Corp.,Phil. Sanija Steel Corp.,,12mm,90,,,,90,,,
Steel Bars - 10mm,United Steel,United Steel,,10mm,,,,,,,,
Steel Bars - 12mm,United Steel,United Steel,,12mm,,,,,,,,
Steel Bars - 10mm,Chuangxing,Chuangxing,,10mm,,,,,,,,
Steel Bars - 12mm,Chuangxing,Chuangxing,,12mm,,,,,,,,
Switch - Snap Switch,Focus Snap Switch,Focus,,piece,,,,,,,,
Bulb - LED Bulb,FSL LED Bulb - 5W,FSL,,5 watts,,85,,,,,,
Bulb - LED Bulb,FSL LED Bulb - 7W,FSL,,7 watts,,120,,,,,,
Bulb - LED Bulb,FSL LED Bulb - 9W,FSL,,9 watts,,140,,,,,,
Bulb - LED Bulb,FSL LED Bulb - 12W,FSL,,12 watts,,150,,,,,,
Bulb - LED Bulb,FSL LED Bulb -14W,FSL,,14 watts,,180,,,,,,
Bulb - LED Bulb,FSL LED Bulb -14W,FSL,,3 watts,,75,,,,,,
Cement - Type 1P,Barako,Barako,,40 kg/bag,,,,,,,,
Steel Bars - 10mm,Unicorn Metal Corporation,Unicorn,,10mm,,,,,,,,
Steel Bars - 12mm,Unicorn Metal Corporation,Unicorn,,12mm,,,,,,,,
Nail - Finishing Nails - 50mm,"Steel Asia  Finishing Nails - 50mm(2"")",Steel Asia,,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,"Steel Asia  Finishing Nails - 75mm(3"")",Steel Asia,,"75mm (3"")",,,,,,,,
Bulb - LED Bulb,Energetic,Energetic,,3 watts,,60,,,,,,
Bulb - LED Bulb,Energetic,Energetic,,5 watts,,70,,,,,,
Bulb - LED Bulb,Energetic,Energetic,,7 watts,,80,,,,,,
Bulb - LED Bulb,Energetic,Energetic,,9 watts,,90,,,,,,
Bulb - LED Bulb,Energetic,Energetic,,11 watts,,100,,,,,,
Steel Bars - 10mm,Philippine Sanjia,Sanjia,,10mm,,,,,,,,
Steel Bars - 12mm,Philippine Sanjia,Sanjia,,12mm,,,,,,,,
Bulb - LED Bulb,Shuta 9watts,Shuta,,9 watts,,,,,,,,
Bulb - LED Bulb,Shuta 12watts,Shuta,,12 watts,,,,,,,,
Bulb - LED Bulb,Shuta 15watts,Shuta,,15 watts,,,,,,,,
Bulb - LED Bulb,Shuta 18watts,Shuta,,18 watts,,,,,,,,
Lamp - Tubular Fluorescent Lamp,ECOLUM Tubular Fluorescent Lamp - 30W,Ecolum,,30 Watts,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVASTAR GI Sheet - 0.4mm Z215 10 ft.,Galvastar,,10 ft,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVASTAR GI Sheet - 0.4mm Z215 12 ft.,Galvastar,,12 ft,,,,,,,,
Starter,Oppo,Oppo,,piece,,,,,,,,
Bulb - LED Bulb,Alco LED Bulb 3 watts,Alco,,3 watts,80,,,,80,,,
Bulb - LED Bulb,Alco LED Bulb 5 watts,Alco,,5 watts,90,,,,90,,,
Bulb - LED Bulb,Alco LED Bulb 7 watts,Alco,,7 watts,100,,,,100,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME GI Sheet (Gauge 24) 8ft,Super Lume,,8ft,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME GI Sheet (Gauge 24) 10ft,Super Lume,,10ft,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME GI Sheet (Gauge 24) 12ft,Super Lume,,12ft,,,,,,,,
Bulb - Incandescent Lamp,FOCUS Incandescent Lamp 25W,Focus,,25 Watts,,,,,,,,
