MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
CONSTRUCTION MATERIALS ,,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,UNIT,SIZE,"MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Cement - Type 1P,MABUHAY Cement,Mabuhay,bag,40kg/bag,,,,,,,,
Cement - Type 1P,MAYON - Pozzolan Cement,Mayon ,bag,40kg/bag,,,,,,,,
Cement - Type 1P,MAYON Cement,Mayon,bag,40kg/bag,,,,,,,,
Cement - Type 1P,MINDANAO Cement,Mindanao,bag,40kg/bag,,,,,,,,
Cement - Type 1P,NORTHERN Cement,Northern,bag,40kg/bag,,,,,,,,
Cement - Type 1P,RED LION Cement,Red Lion,bag,40kg/bag,,,,,,,,
Cement - Type 1P,REPUBLIC  Cement,Republic,bag,40kg/bag,170,200,-15.00%,-30,170,200,-15.00%,-30
Cement - Type 1P,RIZAL Cement,Rizal,bag,40kg/bag,180,200,-10.00%,-20,180,,,
Cement - Type 1P,UNION Cement Extra Strength ES,Union,bag,40 kg/bag,,170,,,,,,
Cement - Type 1P,UNION Cement Super Strength 40,Union,bag,40 kg/bag,,195,,,,,,
Fuse,EAGLE Fuse 30W,Eagle,watts,30 Watts,,,,,,,,
Fuse,EAGLE Fuse 60W,Eagle,watts,60 Watts,,,,,,,,
Fuse,KOPEZ Fuse 30W,Kopez,watts,30 watts,,,,,,,,
"GI Sheet, Roofing - Corrugated",7 STAR GI Sheet - 0.33mm,7 Star,milli meter,0.33mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",ACE GI Sheet - 0.2mm Z215 6 ft.,Ace,feet,0.2mm Z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",ACE GI Sheet - 0.2mm Z215 8 ft.,Ace,feet,0.2mm Z215 8 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",ACE GI Sheet - 0.4mm Z215 6 ft.,Ace,feet,0.4mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",ACE GI Sheet - 0.4mm Z215 8ft.,Ace,feet,0.4mm Z215 8ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",ANCHOR Titan GI Sheet - 0.24mm,Anchor Titan,milli meter,0.24mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",ANCHOR Titan GI Sheet - 0.26mm,Anchor Titan,milli meter,0.26mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - .55mm,Apo,milli meter,55mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.24mm,Apo,milli meter,0.24mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.26mm,Apo,milli meter,0.26mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.2mm Z215 6 ft.,Apo,feet,0.2mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.2mm Z215 8 ft.,Apo,feet,0.2mm Z215 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.31mm (Gauge 30) 10 ft.,Apo,feet,0.31mm (Gauge 30) 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.31mm (Gauge 30) 6 ft.,Apo,feet,0.31mm (Gauge 30) 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.31mm (Gauge 30) 8 ft.,Apo,feet,0.31mm (Gauge 30) 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.33mm,Apo,milli meter,0.33mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.35mm per foot,Apo,feet,0.35 per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.4 mm (Gauge 28) 10 ft.,Apo,feet,0.4 mm (Gauge 28) 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.4 mm (Gauge 28) 6 ft.,Apo,feet,0.4 mm (Gauge 28) 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.4 mm (Gauge 28) 8 ft.,Apo,feet,0.4 mm (Gauge 28) 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.4mm Z215 6 ft.,Apo,feet,0.4mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.4mm Z215 8ft.,Apo,feet,0.4mm Z215 8ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.5 mm (Gauge 26) 10 ft.,Apo,feet,0.5 mm (Gauge 26) 10 feet,750,900,-16.67%,-150,750,,,
