MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NATIONWIDE COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
PRIME COMMODITIES (PC),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NATIONWIDE",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Battery,DURACELL AAA,DURACELL,2pcs/pack,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,CDO Chinese Style Luncheon Meat ,CDO,150g,NO SRP,,,,,,20.75,,
Canned Pork - Luncheon Meat,CDO Chinese Style Luncheon Meat ,CDO,165g,41,41,41,0.00%,0,41,41,0.00%,0
Canned Pork - Luncheon Meat,CDO Chinese Style Luncheon Meat ,CDO,220g,NO SRP,54.75,54.75,0.00%,0,54.75,54.75,0.00%,0
Canned Pork - Luncheon Meat,CDO Chinese Style Luncheon Meat ,CDO,350g,NO SRP,84,84,0.00%,0,84,84,0.00%,0
Canned Pork - Luncheon Meat,HIGHLANDS Luncheon Beef,Highlands,165g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,LA FILIPINA Luncheon Meat ,La Filipina,110g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,LA FILIPINA Luncheon Meat ,La Filipina,190g,NO SRP,94,94,0.00%,0,94,85,10.59%,9
Canned Pork - Luncheon Meat,LA FILIPINA Luncheon Meat ,La Filipina,235g,NO SRP,102,102,0.00%,0,102,,,
Canned Pork - Luncheon Meat,LIBERTY Beef Luncheon Meat,Liberty,375g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,LIBERTY Beef Luncheon Meat,Liberty,165g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,LIBERTY Pork Luncheon Meat,Liberty,165g,NO SRP,33,33,0.00%,0,33,33,0.00%,0
Canned Pork - Luncheon Meat,LIBERTY Pork Luncheon Meat,Liberty,375g,NO SRP,79,79,0.00%,0,79,79,0.00%,0
Canned Pork - Luncheon Meat,LIGO Luncheon Meat ,Ligo,150g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,LIGO Luncheon Meat ,Ligo,175g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,MALING (B2-high grade) Luncheon Meat ,Maling,170g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,MALING (B2-high grade) Luncheon Meat ,Maling,397g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,MALING 168 Luncheon Meat,Maling,397g,NO SRP,,,,,,118.95,,
Canned Pork - Luncheon Meat,MALING Luncheon Meat Chicken,Maling,397g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,MALING Premium Luncheon Meat,Maling,397g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,PHILIPS Gold Pork Luncheon Meat,Philips,350g,NO SRP,90,90,0.00%,0,90,90,0.00%,0
Canned Pork - Luncheon Meat,PUREFOODS Chicken Luncheon Meat,Purefoods,360g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,PUREFOODS Chinese Luncheon Meat,Purefoods,165g,33.5,33.5,33.5,0.00%,0,33.5,33.5,0.00%,0
Canned Pork - Luncheon Meat,PUREFOODS Chinese Luncheon Meat,Purefoods,230g,NO SRP,,86.2,,,,,,
Canned Pork - Luncheon Meat,PUREFOODS Chinese Luncheon Meat,Purefoods,350g,NO SRP,86,86,0.00%,0,86,86,0.00%,0
Canned Pork - Luncheon Meat,PUREFOODS Luncheon Meat,Purefoods,215g,NO SRP,,85,,,,,,
Canned Pork - Luncheon Meat,SHANGHAI Luncheon Meat,Shanghai,375g,NO SRP,85,85,0.00%,0,85,85,0.00%,0
Canned Pork - Luncheon Meat,SM BONUS Pork Luncheon Meat,SM Bonus,340g,NO SRP,72.5,72.5,0.00%,0,72.5,72.5,0.00%,0
Canned Pork - Luncheon Meat,VALLEY FARM Pork Luncheon Meat,Valley Farm,220g,NO SRP,,,,,,,,
Canned Pork - Luncheon Meat,WAGI Pork Luncheon Meat,Wagi,340g,NO SRP,75,75,0.00%,0,75,75,0.00%,0
Canned Pork - Meat Loaf,555 Meat Loaf,555,150g,19.5,,,,,,,,
Canned Pork - Meat Loaf,ARGENTINA Meat Loaf ,Argentina,100g,NO SRP,17.25,17.25,0.00%,0,17.25,17.25,0.00%,0
Canned Pork - Meat Loaf,ARGENTINA Meat Loaf ,Argentina,150g,23.75,20,20,0.00%,0,20,20,0.00%,0
